key,name
172.05,Pérdida por deterioro acumulado de equipo de cómputo
172.06,Pérdida por deterioro acumulado de equipo de comunicación
172.07,"Pérdida por deterioro acumulado de activos biológicos, vegetales y semovientes"
172.08,Pérdida por deterioro acumulado de otros activos fijos
172.09,Pérdida por deterioro acumulado de ferrocarriles
172.10,Pérdida por deterioro acumulado de embarcaciones
172.11,Pérdida por deterioro acumulado de aviones
172.12,"Pérdida por deterioro acumulado de troqueles, moldes, matrices y herramental"
172.13,Pérdida por deterioro acumulado de equipo de comunicaciones telefónicas
172.14,Pérdida por deterioro acumulado de equipo de comunicación satelital
172.15,Pérdida por deterioro acumulado de equipo de adaptaciones para personas con capacidades diferentes
172.16,Pérdida por deterioro acumulado de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente
172.17,Pérdida por deterioro acumulado de adaptaciones y mejoras
172.18,Pérdida por deterioro acumulado de otra maquinaria y equipo
173,Gastos diferidos
173.01,Gastos diferidos
174,Gastos pre operativos
174.01,Gastos pre operativos
175,"Regalías, asistencia técnica y otros gastos diferidos"
175.01,"Regalías, asistencia técnica y otros gastos diferidos"
176,Activos intangibles
176.01,Activos intangibles
177,Gastos de organización
177.01,Gastos de organización
178,Investigación y desarrollo de mercado
178.01,Investigación y desarrollo de mercado
179,Marcas y patentes
179.01,Marcas y patentes
180,Crédito mercantil
180.01,Crédito mercantil
181,Gastos de instalación
181.01,Gastos de instalación
182,Otros activos diferidos
182.01,Otros activos diferidos
183,Amortización acumulada de activos diferidos
183.01,Amortización acumulada de gastos diferidos
183.02,Amortización acumulada de gastos pre operativos
183.03,"Amortización acumulada de regalías, asistencia técnica y otros gastos diferidos"
183.04,Amortización acumulada de activos intangibles
183.05,Amortización acumulada de gastos de organización
183.06,Amortización acumulada de investigación y desarrollo de mercado
183.07,Amortización acumulada de marcas y patentes
183.08,Amortización acumulada de crédito mercantil
183.09,Amortización acumulada de gastos de instalación
183.10,Amortización acumulada de otros activos diferidos
184,Depósitos en garantía
184.01,Depósitos de fianzas
184.02,Depósitos de arrendamiento de bienes inmuebles
184.03,Otros depósitos en garantía
185,Impuestos diferidos
185.01,Impuestos diferidos ISR
186,Cuentas y documentos por cobrar a largo plazo
186.01,Cuentas y documentos por cobrar a largo plazo nacional
186.02,Cuentas y documentos por cobrar a largo plazo extranjero
186.03,Cuentas y documentos por cobrar a largo plazo nacional parte relacionada
186.04,Cuentas y documentos por cobrar a largo plazo extranjero parte relacionada
186.05,Intereses por cobrar a largo plazo nacional
186.06,Intereses por cobrar a largo plazo extranjero
186.07,Intereses por cobrar a largo plazo nacional parte relacionada
186.08,Intereses por cobrar a largo plazo extranjero parte relacionada
186.09,Otras cuentas y documentos por cobrar a largo plazo
186.10,Otras cuentas y documentos por cobrar a largo plazo parte relacionada
187,Participación de los trabajadores en las utilidades diferidas
187.01,Participación de los trabajadores en las utilidades diferidas
188,Inversiones permanentes en acciones
188.01,Inversiones a largo plazo en subsidiarias
188.02,Inversiones a largo plazo en asociadas
188.03,Otras inversiones permanentes en acciones
189,Estimación por deterioro de inversiones permanentes en acciones
189.01,Estimación por deterioro de inversiones permanentes en acciones
190,Otros instrumentos financieros
190.01,Otros instrumentos financieros
191,Otros activos a largo plazo
191.01,Otros activos a largo plazo
200,Pasivo
200.01,Pasivo a corto plazo
201,Proveedores
201.01,Proveedores nacionales
201.02,Proveedores extranjeros
201.03,Proveedores nacionales parte relacionada
201.04,Proveedores extranjeros parte relacionada
202,Cuentas por pagar a corto plazo
202.01,Documentos por pagar bancario y financiero nacional
202.02,Documentos por pagar bancario y financiero extranjero
202.03,Documentos y cuentas por pagar a corto plazo nacional
202.04,Documentos y cuentas por pagar a corto plazo extranjero
202.05,Documentos y cuentas por pagar a corto plazo nacional parte relacionada
202.06,Documentos y cuentas por pagar a corto plazo extranjero parte relacionada
202.07,Intereses por pagar a corto plazo nacional
202.08,Intereses por pagar a corto plazo extranjero
202.09,Intereses por pagar a corto plazo nacional parte relacionada
202.10,Intereses por pagar a corto plazo extranjero parte relacionada
202.11,Dividendo por pagar nacional
202.12,Dividendo por pagar extranjero
203,Cobros anticipados a corto plazo
203.01,Rentas cobradas por anticipado a corto plazo nacional
203.02,Rentas cobradas por anticipado a corto plazo extranjero
203.03,Rentas cobradas por anticipado a corto plazo nacional parte relacionada
203.04,Rentas cobradas por anticipado a corto plazo extranjero parte relacionada
203.05,Intereses cobrados por anticipado a corto plazo nacional
203.06,Intereses cobrados por anticipado a corto plazo extranjero
203.07,Intereses cobrados por anticipado a corto plazo nacional parte relacionada
203.08,Intereses cobrados por anticipado a corto plazo extranjero parte relacionada
203.09,Factoraje financiero cobrados por anticipado a corto plazo nacional
203.10,Factoraje financiero cobrados por anticipado a corto plazo extranjero
203.11,Factoraje financiero cobrados por anticipado a corto plazo nacional parte relacionada
203.12,Factoraje financiero cobrados por anticipado a corto plazo extranjero parte relacionada
203.13,Arrendamiento financiero cobrados por anticipado a corto plazo nacional
203.14,Arrendamiento financiero cobrados por anticipado a corto plazo extranjero
203.15,Arrendamiento financiero cobrados por anticipado a corto plazo nacional parte relacionada
203.16,Arrendamiento financiero cobrados por anticipado a corto plazo extranjero parte relacionada
203.17,Derechos fiduciarios
203.18,Otros cobros anticipados
204,Instrumentos financieros a corto plazo
204.01,Instrumentos financieros a corto plazo
205,Acreedores diversos a corto plazo
205.01,"Socios, accionistas o representante legal"
205.02,Acreedores diversos a corto plazo nacional
205.03,Acreedores diversos a corto plazo extranjero
205.04,Acreedores diversos a corto plazo nacional parte relacionada
205.05,Acreedores diversos a corto plazo extranjero parte relacionada
205.06,Otros acreedores diversos a corto plazo
206,Anticipo de cliente
206.01,Anticipo de cliente nacional
206.02,Anticipo de cliente extranjero
206.03,Anticipo de cliente nacional parte relacionada
206.04,Anticipo de cliente extranjero parte relacionada
206.05,Otros anticipos de clientes
207,Impuestos trasladados
207.01,IVA trasladado
207.02,IEPS trasladado
208,Impuestos trasladados cobrados
208.01,IVA trasladado cobrado
208.02,IEPS trasladado cobrado
209,Impuestos trasladados no cobrados
209.01,IVA trasladado no cobrado
209.02,IEPS trasladado no cobrado
210,Provisión de sueldos y salarios por pagar
210.01,Provisión de sueldos y salarios por pagar
210.02,Provisión de vacaciones por pagar
210.03,Provisión de aguinaldo por pagar
210.04,Provisión de fondo de ahorro por pagar
210.05,Provisión de asimilados a salarios por pagar
210.06,Provisión de anticipos o remanentes por distribuir
210.07,Provisión de otros sueldos y salarios por pagar
211,Provisión de contribuciones de seguridad social por pagar
211.01,Provisión de IMSS patronal por pagar
211.02,Provisión de SAR por pagar
211.03,Provisión de infonavit por pagar
212,Provisión de impuesto estatal sobre nómina por pagar
212.01,Provisión de impuesto estatal sobre nómina por pagar
213,Impuestos y derechos por pagar
213.01,IVA por pagar
213.02,IEPS por pagar
213.03,ISR por pagar
213.04,Impuesto estatal sobre nómina por pagar
213.05,Impuesto estatal y municipal por pagar
213.06,Derechos por pagar
213.07,Otros impuestos por pagar
214,Dividendos por pagar
214.01,Dividendos por pagar
215,PTU por pagar
215.01,PTU por pagar
215.02,PTU por pagar de ejercicios anteriores
215.03,Provisión de PTU por pagar
216,Impuestos retenidos
216.01,Impuestos retenidos de ISR por sueldos y salarios
216.02,Impuestos retenidos de ISR por asimilados a salarios
216.03,Impuestos retenidos de ISR por arrendamiento
216.04,Impuestos retenidos de ISR por servicios profesionales
216.05,Impuestos retenidos de ISR por dividendos
216.06,Impuestos retenidos de ISR por intereses
216.07,Impuestos retenidos de ISR por pagos al extranjero
216.08,Impuestos retenidos de ISR por venta de acciones
216.09,Impuestos retenidos de ISR por venta de partes sociales
216.10,Impuestos retenidos de IVA
216.11,Retenciones de IMSS a los trabajadores
216.12,Otras impuestos retenidos
217,Pagos realizados por cuenta de terceros
217.01,Pagos realizados por cuenta de terceros
218,Otros pasivos a corto plazo
218.01,Otros pasivos a corto plazo
200.02,Pasivo a largo plazo
251,Acreedores diversos a largo plazo
251.01,"Socios, accionistas o representante legal"
251.02,Acreedores diversos a largo plazo nacional
251.03,Acreedores diversos a largo plazo extranjero
251.04,Acreedores diversos a largo plazo nacional parte relacionada
251.05,Acreedores diversos a largo plazo extranjero parte relacionada
251.06,Otros acreedores diversos a largo plazo
252,Cuentas por pagar a largo plazo
252.01,Documentos bancarios y financieros por pagar a largo plazo nacional
252.02,Documentos bancarios y financieros por pagar a largo plazo extranjero
252.03,Documentos y cuentas por pagar a largo plazo nacional
252.04,Documentos y cuentas por pagar a largo plazo extranjero
252.05,Documentos y cuentas por pagar a largo plazo nacional parte relacionada
252.06,Documentos y cuentas por pagar a largo plazo extranjero parte relacionada
252.07,Hipotecas por pagar a largo plazo nacional
252.08,Hipotecas por pagar a largo plazo extranjero
252.09,Hipotecas por pagar a largo plazo nacional parte relacionada
252.10,Hipotecas por pagar a largo plazo extranjero parte relacionada
252.11,Intereses por pagar a largo plazo nacional
252.12,Intereses por pagar a largo plazo extranjero
252.13,Intereses por pagar a largo plazo nacional parte relacionada
252.14,Intereses por pagar a largo plazo extranjero parte relacionada
252.15,Dividendos por pagar nacionales
252.16,Dividendos por pagar extranjeros
252.17,Otras cuentas y documentos por pagar a largo plazo
253,Cobros anticipados a largo plazo
253.01,Rentas cobradas por anticipado a largo plazo nacional
253.02,Rentas cobradas por anticipado a largo plazo extranjero
253.03,Rentas cobradas por anticipado a largo plazo nacional parte relacionada
253.04,Rentas cobradas por anticipado a largo plazo extranjero parte relacionada
253.05,Intereses cobrados por anticipado a largo plazo nacional
253.06,Intereses cobrados por anticipado a largo plazo extranjero
253.07,Intereses cobrados por anticipado a largo plazo nacional parte relacionada
253.08,Intereses cobrados por anticipado a largo plazo extranjero parte relacionada
253.09,Factoraje financiero cobrados por anticipado a largo plazo nacional
253.10,Factoraje financiero cobrados por anticipado a largo plazo extranjero
253.11,Factoraje financiero cobrados por anticipado a largo plazo nacional parte relacionada
253.12,Factoraje financiero cobrados por anticipado a largo plazo extranjero parte relacionada
253.13,Arrendamiento financiero cobrados por anticipado a largo plazo nacional
253.14,Arrendamiento financiero cobrados por anticipado a largo plazo extranjero
253.15,Arrendamiento financiero cobrados por anticipado a largo plazo nacional parte relacionada
253.16,Arrendamiento financiero cobrados por anticipado a largo plazo extranjero parte relacionada
253.17,Derechos fiduciarios
253.18,Otros cobros anticipados
254,Instrumentos financieros a largo plazo
254.01,Instrumentos financieros a largo plazo
255,Pasivos por beneficios a los empleados a largo plazo
255.01,Pasivos por beneficios a los empleados a largo plazo
256,Otros pasivos a largo plazo
256.01,Otros pasivos a largo plazo
257,Participación de los trabajadores en las utilidades diferida
257.01,Participación de los trabajadores en las utilidades diferida
258,Obligaciones contraídas de fideicomisos
258.01,Obligaciones contraídas de fideicomisos
259,Impuestos diferidos
259.01,ISR diferido
259.02,ISR por dividendo diferido
259.03,Otros impuestos diferidos
260,Pasivos diferidos
260.01,Pasivos diferidos
300,Capital contable
301,Capital social
301.01,Capital fijo
301.02,Capital variable
301.03,Aportaciones para futuros aumentos de capital
301.04,Prima en suscripción de acciones
301.05,Prima en suscripción de partes sociales
302,Patrimonio
302.01,Patrimonio
302.02,Aportación patrimonial
302.03,Déficit o remanente del ejercicio
303,Reserva legal
303.01,Reserva legal
304,Resultado de ejercicios anteriores
304.01,Utilidad de ejercicios anteriores
304.02,Pérdida de ejercicios anteriores
304.03,Resultado integral de ejercicios anteriores
304.04,Déficit o remanente de ejercicio anteriores
305,Resultado del ejercicio
305.01,Utilidad del ejercicio
305.02,Pérdida del ejercicio
305.03,Resultado integral
306,Otras cuentas de capital
306.01,Otras cuentas de capital
400,Ingresos
401,Ingresos
401.01,Ventas y/o servicios gravados a la tasa general
401.02,Ventas y/o servicios gravados a la tasa general de contado
401.03,Ventas y/o servicios gravados a la tasa general a crédito
401.04,Ventas y/o servicios gravados al 0%
401.05,Ventas y/o servicios gravados al 0% de contado
401.06,Ventas y/o servicios gravados al 0% a crédito
401.07,Ventas y/o servicios exentos
401.08,Ventas y/o servicios exentos de contado
401.09,Ventas y/o servicios exentos a crédito
401.10,Ventas y/o servicios gravados a la tasa general nacionales partes relacionadas
401.11,Ventas y/o servicios gravados a la tasa general extranjeros partes relacionadas
401.12,Ventas y/o servicios gravados al 0% nacionales partes relacionadas
401.13,Ventas y/o servicios gravados al 0% extranjeros partes relacionadas
401.14,Ventas y/o servicios exentos nacionales partes relacionadas
401.15,Ventas y/o servicios exentos extranjeros partes relacionadas
401.16,Ingresos por servicios administrativos
401.17,Ingresos por servicios administrativos nacionales partes relacionadas
401.18,Ingresos por servicios administrativos extranjeros partes relacionadas
401.19,Ingresos por servicios profesionales
401.20,Ingresos por servicios profesionales nacionales partes relacionadas
401.21,Ingresos por servicios profesionales extranjeros partes relacionadas
401.22,Ingresos por arrendamiento
401.23,Ingresos por arrendamiento nacionales partes relacionadas
401.24,Ingresos por arrendamiento extranjeros partes relacionadas
401.25,Ingresos por exportación
401.26,Ingresos por comisiones
401.27,Ingresos por maquila
401.28,Ingresos por coordinados
401.29,Ingresos por regalías
401.30,Ingresos por asistencia técnica
401.31,Ingresos por donativos
401.32,Ingresos por intereses (actividad propia)
401.33,Ingresos de copropiedad
401.34,Ingresos por fideicomisos
401.35,Ingresos por factoraje financiero
401.36,Ingresos por arrendamiento financiero
401.37,Ingresos de extranjeros con establecimiento en el país
401.38,Otros ingresos propios
402,"Devoluciones, descuentos o bonificaciones sobre ingresos"
402.01,"Devoluciones, descuentos o bonificaciones sobre ventas y/o servicios a la tasa general"
402.02,"Devoluciones, descuentos o bonificaciones sobre ventas y/o servicios al 0%"
402.03,"Devoluciones, descuentos o bonificaciones sobre ventas y/o servicios exentos"
402.04,"Devoluciones, descuentos o bonificaciones de otros ingresos"
403,Otros ingresos
403.01,Otros Ingresos
403.02,Otros ingresos nacionales parte relacionada
403.03,Otros ingresos extranjeros parte relacionada
403.04,Ingresos por operaciones discontinuas
403.05,Ingresos por condonación de adeudo
500,Costos
501,Costo de venta y/o servicio
501.01,Costo de venta
501.02,Costo de servicios (Mano de obra)
501.03,Materia prima directa utilizada para la producción
501.04,Materia prima consumida en el proceso productivo
501.05,Mano de obra directa consumida
501.06,Mano de obra directa
501.07,Cargos indirectos de producción
501.08,Otros conceptos de costo
502,Compras
502.01,Compras nacionales
502.02,Compras nacionales parte relacionada
502.03,Compras de Importación
502.04,Compras de Importación partes relacionadas
503,"Devoluciones, descuentos o bonificaciones sobre compras"
503.01,"Devoluciones, descuentos o bonificaciones sobre compras"
504,Otras cuentas de costos
504.01,Gastos indirectos de fabricación
504.02,Gastos indirectos de fabricación de partes relacionadas nacionales
504.03,Gastos indirectos de fabricación de partes relacionadas extranjeras
504.04,Otras cuentas de costos incurridos
504.05,Otras cuentas de costos incurridos con partes relacionadas nacionales
504.06,Otras cuentas de costos incurridos con partes relacionadas extranjeras
504.07,Depreciación de edificios
504.08,Depreciación de maquinaria y equipo
504.09,"Depreciación de automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
504.10,Depreciación de mobiliario y equipo de oficina
504.11,Depreciación de equipo de cómputo
504.12,Depreciación de equipo de comunicación
504.13,"Depreciación de activos biológicos, vegetales y semovientes"
504.14,Depreciación de otros activos fijos
504.15,Depreciación de ferrocarriles
504.16,Depreciación de embarcaciones
504.17,Depreciación de aviones
504.18,"Depreciación de troqueles, moldes, matrices y herramental"
504.19,Depreciación de equipo de comunicaciones telefónicas
504.20,Depreciación de equipo de comunicación satelital
504.21,Depreciación de equipo de adaptaciones para personas con capacidades diferentes
504.22,Depreciación de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente
504.23,Depreciación de adaptaciones y mejoras
504.24,Depreciación de otra maquinaria y equipo
504.25,Otras cuentas de costos
505,Costo de activo fijo
505.01,Costo por venta de activo fijo
505.02,Costo por baja de activo fijo
600,Gastos
601,Gastos generales
601.01,Sueldos y salarios
601.02,Compensaciones
601.03,Tiempos extras
601.04,Premios de asistencia
601.05,Premios de puntualidad
601.06,Vacaciones
601.07,Prima vacacional
601.08,Prima dominical
601.09,Días festivos
601.10,Gratificaciones
601.11,Primas de antigüedad
601.12,Aguinaldo
601.13,Indemnizaciones
601.14,Destajo
601.15,Despensa
601.16,Transporte
601.17,Servicio médico
601.18,Ayuda en gastos funerarios
601.19,Fondo de ahorro
601.20,Cuotas sindicales
601.21,PTU
601.22,Estímulo al personal
601.23,Previsión social
601.24,Aportaciones para el plan de jubilación
601.25,Otras prestaciones al personal
601.26,Cuotas al IMSS
601.27,Aportaciones al infonavit
601.28,Aportaciones al SAR
601.29,Impuesto estatal sobre nóminas
601.30,Otras aportaciones
601.31,Asimilados a salarios
601.32,Servicios administrativos
601.33,Servicios administrativos partes relacionadas
601.34,Honorarios a personas físicas residentes nacionales
601.35,Honorarios a personas físicas residentes nacionales partes relacionadas
601.36,Honorarios a personas físicas residentes del extranjero
601.37,Honorarios a personas físicas residentes del extranjero partes relacionadas
601.38,Honorarios a personas morales residentes nacionales
601.39,Honorarios a personas morales residentes nacionales partes relacionadas
601.40,Honorarios a personas morales residentes del extranjero
601.41,Honorarios a personas morales residentes del extranjero partes relacionadas
601.42,Honorarios aduanales personas físicas
601.43,Honorarios aduanales personas morales
601.44,Honorarios al consejo de administración
601.45,Arrendamiento a personas físicas residentes nacionales
601.46,Arrendamiento a personas morales residentes nacionales
601.47,Arrendamiento a residentes del extranjero
601.48,Combustibles y lubricantes
601.49,Viáticos y gastos de viaje
601.50,"Teléfono, internet"
601.51,Agua
601.52,Energía eléctrica
601.53,Vigilancia y seguridad
601.54,Limpieza
601.55,Papelería y artículos de oficina
601.56,Mantenimiento y conservación
601.57,Seguros y fianzas
601.58,Otros impuestos y derechos
601.59,Recargos fiscales
601.60,Cuotas y suscripciones
601.61,Propaganda y publicidad
601.62,Capacitación al personal
601.63,Donativos y ayudas
601.64,Asistencia técnica
601.65,Regalías sujetas a otros porcentajes
601.66,Regalías sujetas al 5%
601.67,Regalías sujetas al 10%
601.68,Regalías sujetas al 15%
601.69,Regalías sujetas al 25%
601.70,Regalías sujetas al 30%
601.71,Regalías sin retención
601.72,Fletes y acarreos
601.73,Gastos de importación
601.74,Comisiones sobre ventas
601.75,Comisiones por tarjetas de crédito
601.76,Patentes y marcas
601.77,Uniformes
601.78,Prediales
601.79,Gastos generales de urbanización
601.80,Gastos generales de construcción
601.81,Fletes del extranjero
601.82,Recolección de bienes del sector agropecuario y/o ganadero
601.83,Gastos no deducibles (sin requisitos fiscales)
601.84,Otros gastos generales
602,Gastos de venta
602.01,Sueldos y salarios
602.02,Compensaciones
602.03,Tiempos extras
602.04,Premios de asistencia
602.05,Premios de puntualidad
602.06,Vacaciones
602.07,Prima vacacional
602.08,Prima dominical
602.09,Días festivos
602.10,Gratificaciones
602.11,Primas de antigüedad
602.12,Aguinaldo
602.13,Indemnizaciones
602.14,Destajo
602.15,Despensa
602.16,Transporte
602.17,Servicio médico
602.18,Ayuda en gastos funerarios
602.19,Fondo de ahorro
602.20,Cuotas sindicales
602.21,PTU
602.22,Estímulo al personal
602.23,Previsión social
602.24,Aportaciones para el plan de jubilación
602.25,Otras prestaciones al personal
602.26,Cuotas al IMSS
602.27,Aportaciones al infonavit
602.28,Aportaciones al SAR
602.29,Impuesto estatal sobre nóminas
602.30,Otras aportaciones
602.31,Asimilados a salarios
602.32,Servicios administrativos
602.33,Servicios administrativos partes relacionadas
602.34,Honorarios a personas físicas residentes nacionales
602.35,Honorarios a personas físicas residentes nacionales partes relacionadas
602.36,Honorarios a personas físicas residentes del extranjero
602.37,Honorarios a personas físicas residentes del extranjero partes relacionadas
602.38,Honorarios a personas morales residentes nacionales
602.39,Honorarios a personas morales residentes nacionales partes relacionadas
602.40,Honorarios a personas morales residentes del extranjero
602.41,Honorarios a personas morales residentes del extranjero partes relacionadas
602.42,Honorarios aduanales personas físicas
602.43,Honorarios aduanales personas morales
602.44,Honorarios al consejo de administración
602.45,Arrendamiento a personas físicas residentes nacionales
602.46,Arrendamiento a personas morales residentes nacionales
602.47,Arrendamiento a residentes del extranjero
602.48,Combustibles y lubricantes
602.49,Viáticos y gastos de viaje
602.50,"Teléfono, internet"
602.51,Agua
602.52,Energía eléctrica
602.53,Vigilancia y seguridad
602.54,Limpieza
602.55,Papelería y artículos de oficina
602.56,Mantenimiento y conservación
602.57,Seguros y fianzas
602.58,Otros impuestos y derechos
602.59,Recargos fiscales
602.60,Cuotas y suscripciones
602.61,Propaganda y publicidad
602.62,Capacitación al personal
602.63,Donativos y ayudas
602.64,Asistencia técnica
602.65,Regalías sujetas a otros porcentajes
602.66,Regalías sujetas al 5%
602.67,Regalías sujetas al 10%
602.68,Regalías sujetas al 15%
602.69,Regalías sujetas al 25%
602.70,Regalías sujetas al 30%
602.71,Regalías sin retención
602.72,Fletes y acarreos
